task,cohort,model,feature_policy,total_samples,oof_accuracy,fold_mean_accuracy,fold_std_accuracy,worst_fold_accuracy,best_fold_accuracy,oof_macro_f1,oof_precision,oof_recall,oof_roc_auc,false_positive_count,false_negative_count,critical_security_errors
TASK_2_BINARY_HARDWARE,TARGETED_41,Logistic_Regression,PRODUCTION_T0,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,TARGETED_41,Linear_SVM,PRODUCTION_T0,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,TARGETED_41,Decision_Tree,PRODUCTION_T0,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,TARGETED_41,Random_Forest,PRODUCTION_T0,41,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_3_THREE_TIER_POLICY,TARGETED_41,Logistic_Regression,PRODUCTION_T0,41,0.9024390243902439,0.9027777777777779,0.09296222517045283,0.75,1.0,0.9005830418124271,0.8992673992673993,0.9152777777777779,-1.0,1,0,0
TASK_3_THREE_TIER_POLICY,TARGETED_41,Linear_SVM,PRODUCTION_T0,41,0.9024390243902439,0.9027777777777779,0.09296222517045283,0.75,1.0,0.9005830418124271,0.8992673992673993,0.9152777777777779,-1.0,1,0,0
TASK_3_THREE_TIER_POLICY,TARGETED_41,Decision_Tree,PRODUCTION_T0,41,0.9024390243902439,0.9027777777777779,0.09296222517045283,0.75,1.0,0.9005830418124271,0.8992673992673993,0.9152777777777779,-1.0,1,0,0
TASK_3_THREE_TIER_POLICY,TARGETED_41,Random_Forest,PRODUCTION_T0,41,0.9024390243902439,0.9027777777777779,0.09296222517045283,0.75,1.0,0.9005830418124271,0.8992673992673993,0.9152777777777779,-1.0,1,0,0
TASK_5_ANOMALY_DETECTION,TARGETED_41,Isolation_Forest,PRODUCTION_T0,31,0.967741935483871,0.967741935483871,0.0,0.967741935483871,0.967741935483871,0.9696969696969697,1.0,1.0,0.9604166666666667,1,0,0
TASK_6_HYBRID_ENSEMBLE,TARGETED_41,Deterministic_Baseline_Rules,PRODUCTION_T0,41,0.6097560975609756,0.6097560975609756,0.0,0.6097560975609756,0.6097560975609756,0.6097560975609756,1.0,0.6097560975609756,-1.0,0,16,16
TASK_6_HYBRID_ENSEMBLE,TARGETED_41,Hybrid_Rule_RF_Ensemble,PRODUCTION_T0,41,0.926829268292683,0.926829268292683,0.0,0.926829268292683,0.926829268292683,0.9220389805097451,1.0,0.926829268292683,-1.0,0,3,0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,Logistic_Regression,PRODUCTION_T0,89,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,Linear_SVM,PRODUCTION_T0,89,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,Decision_Tree,PRODUCTION_T0,89,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,Random_Forest,PRODUCTION_T0,89,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Logistic_Regression,PRODUCTION_T0,89,0.8764044943820225,0.8764705882352942,0.05422867585017395,0.7777777777777778,0.9444444444444444,0.8735652123630265,0.8847222222222223,0.8909685086155674,-1.0,0,1,1
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Linear_SVM,PRODUCTION_T0,89,0.8651685393258427,0.8647058823529411,0.0579307707350597,0.7777777777777778,0.9444444444444444,0.8624338624338624,0.8777777777777778,0.88116458704694,-1.0,0,1,1
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Decision_Tree,PRODUCTION_T0,89,0.8651685393258427,0.8647058823529411,0.0579307707350597,0.7777777777777778,0.9444444444444444,0.8624338624338624,0.8777777777777778,0.88116458704694,-1.0,0,1,1
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,Random_Forest,PRODUCTION_T0,89,0.8539325842696629,0.8529411764705882,0.060364705302059174,0.7647058823529411,0.9444444444444444,0.8464782833153133,0.8547544409613375,0.8556149732620321,-1.0,0,0,0
TASK_5_ANOMALY_DETECTION,ACCUMULATED_89,Isolation_Forest,PRODUCTION_T0,67,0.7014925373134329,0.7014925373134329,0.0,0.7014925373134329,0.7014925373134329,0.6153846153846154,0.47058823529411764,0.47058823529411764,0.8854723707664884,2,18,18
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,Deterministic_Baseline_Rules,PRODUCTION_T0,89,0.6179775280898876,0.6179775280898876,0.0,0.6179775280898876,0.6179775280898876,0.6179775280898876,1.0,0.6179775280898876,-1.0,0,34,34
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,Hybrid_Rule_RF_Ensemble,PRODUCTION_T0,89,0.9213483146067416,0.9213483146067416,0.0,0.9213483146067416,0.9213483146067416,0.9159969998928533,1.0,0.9213483146067416,-1.0,0,7,0
