task,cohort,feature_policy,model,total_samples,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_specificity,std_specificity,mean_roc_auc,std_roc_auc,oof_accuracy,oof_f1,oof_roc_auc
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Logistic_Regression,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Linear_SVM,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Decision_Tree,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,PRODUCTION_T0,Random_Forest,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Logistic_Regression,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Linear_SVM,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Decision_Tree,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Random_Forest,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Random_Forest,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Logistic_Regression,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Linear_SVM,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Decision_Tree,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,ORACLE_PERMISSION_ABLATION,Random_Forest,41,0.9027777777777779,0.09296222517045283,0.9277777777777778,0.06478835438717,0.9166666666666666,0.08240220541217406,0.8987301587301587,0.10198533134981531,-1.0,-1.0,-1.0,-1.0,0.9024390243902439,0.9005830418124271,-1.0
TASK_5_ANOMALY_DETECTION,TARGETED_41,PRODUCTION_T0,Isolation_Forest,31,0.967741935483871,0.0,1.0,0.0,1.0,0.0,0.9696969696969697,0.0,0.9333333333333333,0.0,0.9604166666666667,0.0,0.967741935483871,0.9696969696969697,0.9604166666666667
TASK_6_HYBRID_ENSEMBLE,TARGETED_41,PRODUCTION_T0,Deterministic_Baseline_Rules,41,0.6097560975609756,0.0,1.0,0.0,0.6097560975609756,0.0,0.6097560975609756,0.0,1.0,0.0,-1.0,0.0,0.6097560975609756,0.6097560975609756,-1.0
TASK_6_HYBRID_ENSEMBLE,TARGETED_41,PRODUCTION_T0,Hybrid_Rule_RF_Ensemble,41,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,-1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_2_BINARY_HARDWARE,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Logistic_Regression,89,0.8764705882352942,0.05422867585017395,0.8873015873015874,0.04387388876535007,0.8904761904761905,0.04416008807378913,0.8707248307248306,0.05505999300222466,-1.0,-1.0,-1.0,-1.0,0.8764044943820225,0.8735652123630265,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Linear_SVM,89,0.8647058823529411,0.0579307707350597,0.8809523809523808,0.045453400200877375,0.880952380952381,0.04681867048810362,0.8598934398934398,0.0579353819852706,-1.0,-1.0,-1.0,-1.0,0.8651685393258427,0.8624338624338624,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Decision_Tree,89,0.8647058823529411,0.0579307707350597,0.8809523809523808,0.045453400200877375,0.880952380952381,0.04681867048810362,0.8598934398934398,0.0579353819852706,-1.0,-1.0,-1.0,-1.0,0.8651685393258427,0.8624338624338624,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,PRODUCTION_T0,Random_Forest,89,0.8529411764705882,0.060364705302059174,0.8562698412698413,0.06692994122213157,0.8515873015873016,0.06998542122237653,0.8394116994116996,0.0710998342385283,-1.0,-1.0,-1.0,-1.0,0.8539325842696629,0.8464782833153133,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Logistic_Regression,89,0.8875816993464053,0.06091419113559349,0.8850000000000001,0.06803230895485174,0.8928571428571429,0.06269338939089371,0.8779020979020979,0.06712890287296747,-1.0,-1.0,-1.0,-1.0,0.8876404494382022,0.8827811025154478,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Linear_SVM,89,0.8542483660130721,0.07482447029000616,0.8564285714285715,0.0787373588617504,0.8571428571428573,0.07641336445657723,0.844866244866245,0.07973246901780273,-1.0,-1.0,-1.0,-1.0,0.8539325842696629,0.848816170388751,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,89,0.8875816993464053,0.06091419113559349,0.8877777777777778,0.0706364365808434,0.8928571428571429,0.06269338939089371,0.8795182595182596,0.0686694912043109,-1.0,-1.0,-1.0,-1.0,0.8876404494382022,0.8836630036630037,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,89,0.8986928104575164,0.04200331768120163,0.8983333333333334,0.04429140317332168,0.9023809523809525,0.045007767869072464,0.8890132090132091,0.04776300565580788,-1.0,-1.0,-1.0,-1.0,0.898876404494382,0.8935337906874908,-1.0
TASK_5_ANOMALY_DETECTION,ACCUMULATED_89,PRODUCTION_T0,Isolation_Forest,67,0.7014925373134329,0.0,0.47058823529411764,0.0,0.47058823529411764,0.0,0.6153846153846154,0.0,0.9393939393939394,0.0,0.8854723707664884,0.0,0.7014925373134329,0.6153846153846154,0.8854723707664884
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,PRODUCTION_T0,Deterministic_Baseline_Rules,89,0.6179775280898876,0.0,1.0,0.0,0.6179775280898876,0.0,0.6179775280898876,0.0,1.0,0.0,-1.0,0.0,0.6179775280898876,0.6179775280898876,-1.0
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,PRODUCTION_T0,Hybrid_Rule_RF_Ensemble,89,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,-1.0
