session_id,audit_scenario_id,repetition,timestamp_iso,dataset_version,inclusion_status,exclusion_reason,ground_truth_context,f01_screen_state_code,f02_is_screen_interactive,f03_is_device_locked,f04_has_camera_permission,f05_is_known_camera_app,f06_package_inference_confidence,f07_inference_method_code,f08_delta_resumed_to_trigger_ms,f09_recent_activity_count_30s,f10_camera_hardware_id,f11_is_back_camera,f12_session_duration_ms,f13_explicit_user_start_action,f14_explicit_user_stop_action,f15_internal_harness_state,f16_harness_fg_service_active,f17_time_to_session_close_ms,f18_app_visibility_at_trigger,f19_backgrounded_during_session,f20_returned_to_foreground
exp_20260925_205225_4c8447,NORMAL_FOREGROUND_CAMERA,1,2026-09-25T20:52:25.969Z,1.0.0,INCLUDED,NONE,USER_INITIATED_FOREGROUND,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,0,FALSE,FALSE,IDLE,false,0,FOREGROUND,false,false
exp_20260925_205229_a23480,NORMAL_FOREGROUND_CAMERA,1,2026-09-25T20:52:29.148Z,1.0.0,INCLUDED,NONE,USER_INITIATED_FOREGROUND,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,2,USAGE_STATS_ACTIVITY_RESUMED,120.0,1,0,TRUE,12129,TRUE,TRUE,IDLE,true,12129,UNKNOWN,false,false
exp_20260925_205242_fa728c,BACKGROUND_CAMERA_CONTINUATION,1,2026-09-25T20:52:42.945Z,1.0.0,INCLUDED,NONE,USER_INITIATED_BACKGROUND_CONTINUATION,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,1,USAGE_STATS_ACTIVITY_PAUSED,120.0,2,0,TRUE,15282,TRUE,TRUE,IDLE,true,15282,UNKNOWN,true,true
exp_20260925_205301_087164,CAMERA_START_STOP,1,2026-09-25T20:53:01.036Z,1.0.0,INCLUDED,NONE,USER_INITIATED_FOREGROUND,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,2,USAGE_STATS_ACTIVITY_RESUMED,120.0,1,0,TRUE,16490,TRUE,TRUE,IDLE,true,16490,UNKNOWN,false,false
exp_20260925_205359_3c25f9,NORMAL_FOREGROUND_CAMERA,1,2026-09-25T20:53:59.088Z,1.0.0,INCLUDED,NONE,USER_INITIATED_FOREGROUND,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,7545,FALSE,FALSE,IDLE,false,7545,FOREGROUND,false,true
exp_20260925_205411_132d32,PERMISSION_DENIED,1,2026-09-25T20:54:11.813Z,1.0.0,INCLUDED,NONE,PERMISSION_DENIED,UNKNOWN,UNKNOWN,UNKNOWN,DENIED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,0,TRUE,FALSE,IDLE,false,0,FOREGROUND,false,false
exp_20260925_205415_44d5a7,PERMISSION_DENIED,1,2026-09-25T20:54:15.372Z,1.0.0,INCLUDED,NONE,PERMISSION_DENIED,UNKNOWN,UNKNOWN,UNKNOWN,DENIED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,6339,TRUE,FALSE,IDLE,false,6339,FOREGROUND,false,true
exp_20260925_205422_4e75d0,PERMISSION_DENIED,1,2026-09-25T20:54:22.731Z,1.0.0,EXCLUDED,Violates scenario ground-truth invariants,PERMISSION_DENIED,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,0,TRUE,FALSE,IDLE,false,0,FOREGROUND,false,false
exp_20260925_205424_0f3f21,PERMISSION_DENIED,1,2026-09-25T20:54:24.431Z,1.0.0,EXCLUDED,Violates scenario ground-truth invariants,PERMISSION_DENIED,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,18705,TRUE,TRUE,IDLE,false,18705,FOREGROUND,false,false
exp_20260925_205459_c6df69,PERMISSION_GRANTED_NO_CAMERA,1,2026-09-25T20:54:59.991Z,1.0.0,INCLUDED,NONE,NO_CAMERA_ACTIVITY,UNKNOWN,UNKNOWN,UNKNOWN,GRANTED,false,0,NONE,-1.0,0,UNKNOWN,UNKNOWN,23022,TRUE,TRUE,IDLE,false,23022,FOREGROUND,false,false
